iter	RMSE
0	8.177426176
1	7.89985677
2	7.621600941
3	7.398834338
4	7.18814931
5	7.02194195
6	6.836565969
7	6.702613795
8	6.577828795
9	6.440424194
10	6.336215192
11	6.251474657
12	6.16506655
13	6.095618932
14	6.008964365
15	5.940183552
16	5.876031597
17	5.812218635
18	5.75646969
19	5.682290562
20	5.634982236
21	5.608004035
22	5.563405592
23	5.513056358
24	5.462112755
25	5.423411055
26	5.391491996
27	5.319813779
28	5.29747251
29	5.273908682
30	5.24764808
31	5.22103381
32	5.197372312
33	5.171792364
34	5.123604634
35	5.087080344
36	5.078210665
37	5.048718713
38	5.007797882
39	4.991131848
40	4.976860989
41	4.965430169
42	4.936583534
43	4.92536666
44	4.895882068
45	4.850345306
46	4.835364152
47	4.806907044
48	4.784549387
49	4.777277594
50	4.77013782
51	4.753315761
52	4.743409039
53	4.706547897
54	4.688579105
55	4.659922109
56	4.649095447
57	4.633486039
58	4.616012511
59	4.605675655
60	4.589305155
61	4.567528478
62	4.558376502
63	4.548912053
64	4.520898683
65	4.500082058
66	4.476818074
67	4.44640771
68	4.421860233
69	4.40268885
70	4.382075188
71	4.367534264
72	4.361721132
73	4.359007989
74	4.343875617
75	4.324107283
76	4.317792396
77	4.313967474
78	4.297586199
79	4.29387923
80	4.269503135
81	4.244146733
82	4.221477842
83	4.215490592
84	4.193878197
85	4.172297788
86	4.157057797
87	4.151383991
88	4.137875616
89	4.125571493
90	4.097463511
91	4.074668301
92	4.060131188
93	4.040283847
94	4.026617579
95	4.003193564
96	3.99144341
97	3.988161054
98	3.985715613
99	3.975737432
100	3.974335074
101	3.972353012
102	3.950265118
103	3.920582405
104	3.894074527
105	3.878726038
106	3.854383537
107	3.851732438
108	3.838992427
109	3.820124979
110	3.790856621
111	3.761763411
112	3.737251452
113	3.722559618
114	3.702065795
115	3.699844841
116	3.673344362
117	3.656097159
118	3.638070017
119	3.636882283
120	3.618833056
121	3.593340313
122	3.576942391
123	3.559071129
124	3.540457283
125	3.521843
126	3.503588572
127	3.489261427
128	3.471913426
129	3.45350181
130	3.432026266
131	3.413898257
132	3.398813342
133	3.394484591
134	3.383732079
135	3.375387219
136	3.363952942
137	3.343180177
138	3.322644302
139	3.295873151
140	3.281405481
141	3.266615482
142	3.265110017
143	3.250619911
144	3.233916369
145	3.215607714
146	3.205155383
147	3.192175912
148	3.171914398
149	3.162589007
150	3.150408653
151	3.135576875
152	3.122874
153	3.114028185
154	3.104507148
155	3.084875118
156	3.06697266
157	3.053546198
158	3.039558197
159	3.025591697
160	3.024707148
161	3.012566242
162	3.009325627
163	2.993236415
164	2.979255425
165	2.978442035
166	2.969051921
167	2.945309543
168	2.936784016
169	2.927476889
170	2.91280528
171	2.891206906
172	2.880741754
173	2.864127318
174	2.850709989
175	2.844820727
176	2.83930426
177	2.832062363
178	2.831421791
179	2.813646102
180	2.806910432
181	2.79857887
182	2.781238882
183	2.77436487
184	2.757961021
185	2.744692771
186	2.742215135
187	2.738631501
188	2.723536054
189	2.720760906
190	2.711278411
191	2.699456698
192	2.691076788
193	2.681574153
194	2.676767013
195	2.668722601
196	2.658443949
197	2.644550116
198	2.637268211
199	2.632290468
200	2.629455524
201	2.620741695
202	2.612730203
203	2.598541851
204	2.588135991
205	2.580769798
206	2.573111389
207	2.55811667
208	2.54496265
209	2.541131496
210	2.527945437
211	2.52216471
212	2.514781442
213	2.506767576
214	2.497882317
215	2.497289642
216	2.489240663
217	2.483991119
218	2.472334237
219	2.464325051
220	2.453669578
221	2.446997529
222	2.444642191
223	2.440526781
224	2.431039702
225	2.427427651
226	2.417477455
227	2.408977669
228	2.404127271
229	2.386564195
230	2.375084844
231	2.363841119
232	2.348220373
233	2.33406703
234	2.322955189
235	2.317050351
236	2.310347596
237	2.298347635
238	2.28981471
239	2.286851364
240	2.285936871
241	2.27264144
242	2.260054955
243	2.255690495
244	2.249949011
245	2.242364667
246	2.236981358
247	2.236746318
248	2.227263409
249	2.218037479
250	2.209031882
251	2.199213077
252	2.188455744
253	2.182745189
254	2.180614427
255	2.172315032
256	2.158962219
257	2.151971235
258	2.146210795
259	2.141551531
260	2.131563382
261	2.119436759
262	2.113634886
263	2.110257746
264	2.097401861
265	2.093269547
266	2.084398988
267	2.077623174
268	2.069821162
269	2.063040101
270	2.058020442
271	2.049190297
272	2.038618681
273	2.028758612
274	2.026798383
275	2.017970317
276	2.010407456
277	2.004037439
278	1.998534369
279	1.992641861
280	1.987951529
281	1.9796243
282	1.968703069
283	1.960782306
284	1.955528987
285	1.947610326
286	1.93526246
287	1.923254928
288	1.922599634
289	1.920014916
290	1.914466794
291	1.910033247
292	1.909507479
293	1.905306012
294	1.896032418
295	1.889916394
296	1.887475637
297	1.884603294
298	1.880667234
299	1.872338691
