iter	Passed	Remaining
0	13	4038
1	26	3983
2	40	4019
3	54	4067
4	68	4062
5	81	3990
6	94	3948
7	105	3845
8	109	3543
9	120	3494
10	133	3512
11	138	3317
12	150	3327
13	164	3360
14	176	3358
15	188	3345
16	202	3364
17	207	3249
18	220	3265
19	233	3272
20	245	3255
21	257	3249
22	269	3250
23	281	3238
24	292	3222
25	306	3226
26	347	3511
27	357	3475
28	369	3456
29	380	3427
30	395	3429
31	406	3404
32	417	3377
33	426	3339
34	436	3305
35	447	3281
36	459	3264
37	471	3249
38	481	3222
39	493	3204
40	505	3193
41	516	3173
42	529	3165
43	542	3157
44	556	3154
45	569	3146
46	583	3140
47	597	3134
48	610	3127
49	623	3117
50	633	3092
51	644	3073
52	653	3045
53	663	3022
54	666	2968
55	674	2940
56	687	2928
57	695	2900
58	706	2884
59	715	2861
60	746	2923
61	755	2901
62	763	2873
63	773	2853
64	782	2828
65	791	2804
66	816	2839
67	826	2819
68	836	2801
69	845	2778
70	855	2758
71	869	2753
72	879	2734
73	889	2715
74	899	2699
75	911	2686
76	920	2666
77	931	2652
78	940	2632
79	957	2634
80	966	2614
81	972	2586
82	981	2565
83	993	2554
84	1005	2543
85	1017	2531
86	1028	2518
87	1039	2504
88	1051	2493
89	1063	2480
90	1075	2469
91	1086	2456
92	1098	2446
93	1112	2438
94	1123	2424
95	1140	2422
96	1156	2419
97	1170	2412
98	1189	2415
99	1205	2410
100	1220	2404
101	1234	2396
102	1248	2387
103	1266	2387
104	1281	2380
105	1297	2374
106	1308	2360
107	1321	2349
108	1340	2349
109	1349	2331
110	1360	2316
111	1370	2300
112	1381	2285
113	1390	2268
114	1413	2274
115	1422	2256
116	1431	2239
117	1442	2224
118	1452	2209
119	1462	2194
120	1471	2177
121	1482	2162
122	1491	2146
123	1500	2129
124	1511	2115
125	1520	2100
126	1530	2085
127	1540	2069
128	1549	2054
129	1558	2038
130	1567	2022
131	1578	2009
132	1588	1994
133	1611	1996
134	1620	1981
135	1631	1966
136	1640	1951
137	1649	1936
138	1659	1922
139	1668	1906
140	1676	1890
141	1716	1910
142	1727	1896
143	1736	1880
144	1744	1864
145	1752	1848
146	1763	1835
147	1772	1820
148	1784	1808
149	1792	1792
150	1801	1777
151	1810	1762
152	1819	1748
153	1835	1739
154	1844	1725
155	1852	1710
156	1862	1696
157	1871	1681
158	1880	1667
159	1903	1665
160	1912	1651
161	1921	1636
162	1932	1624
163	1942	1610
164	1953	1598
165	1970	1590
166	1997	1590
167	2026	1591
168	2055	1593
169	2075	1587
170	2096	1581
171	2113	1573
172	2124	1559
173	2166	1569
174	2176	1554
175	2207	1555
176	2240	1556
177	2247	1540
178	2272	1536
179	2299	1533
180	2324	1528
181	2350	1523
182	2370	1515
183	2391	1507
184	2414	1500
185	2430	1489
186	2449	1480
187	2469	1471
188	2490	1462
189	2507	1451
190	2518	1437
191	2532	1424
192	2551	1414
193	2560	1399
194	2585	1392
195	2593	1376
196	2601	1360
197	2609	1344
198	2618	1328
199	2626	1313
200	2635	1298
201	2645	1283
202	2653	1268
203	2662	1253
204	2684	1244
205	2694	1229
206	2703	1214
207	2726	1205
208	2735	1190
209	2743	1175
210	2753	1161
211	2762	1146
212	2771	1131
213	2779	1116
214	2791	1103
215	2800	1089
216	2809	1074
217	2818	1060
218	2855	1056
219	2864	1041
220	2873	1027
221	2882	1012
222	2891	998
223	2899	983
224	2949	983
225	2961	969
226	2971	955
227	2983	942
228	2996	929
229	3014	917
230	3040	908
231	3071	900
232	3124	898
233	3147	887
234	3179	879
235	3201	868
236	3222	856
237	3244	845
238	3265	833
239	3287	821
240	3309	810
241	3328	797
242	3354	786
243	3377	775
244	3400	763
245	3421	751
246	3444	739
247	3468	727
248	3492	715
249	3514	702
250	3536	690
251	3553	676
252	3573	663
253	3593	650
254	3607	636
255	3619	622
256	3628	607
257	3641	592
258	3651	577
259	3659	563
260	3668	548
261	3680	533
262	3690	519
263	3701	504
264	3713	490
265	3722	475
266	3730	461
267	3742	446
268	3751	432
269	3759	417
270	3767	403
271	3776	388
272	3784	374
273	3794	360
274	3803	345
275	3811	331
276	3822	317
277	3832	303
278	3842	289
279	3852	275
280	3861	261
281	3872	247
282	3886	233
283	3896	219
284	3904	205
285	3913	191
286	3922	177
287	3930	163
288	3939	149
289	3948	136
290	3957	122
291	3966	108
292	3979	95
293	3987	81
294	3999	67
295	4008	54
296	4017	40
297	4026	27
298	4035	13
299	4044	0
